epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
112,12547,1.12344,0.33549,0.00278,0.76597,0.53142,0.55778,0.367,1.66745,1.15918,0.00786,0.000125969,0.000125969,0.000125969
113,12656.3,1.11934,0.32898,0.00282,0.7644,0.5276,0.55837,0.3682,1.66107,1.16551,0.00778,0.000123674,0.000123674,0.000123674
114,12764.9,1.12846,0.32569,0.00273,0.76592,0.5278,0.55729,0.37029,1.66407,1.16667,0.00779,0.000121386,0.000121386,0.000121386
115,12873.6,1.11555,0.32215,0.00273,0.76002,0.52983,0.55695,0.36671,1.66192,1.16907,0.00774,0.000119106,0.000119106,0.000119106
116,12982.9,1.1134,0.32949,0.00271,0.73328,0.49564,0.54314,0.35495,1.65848,1.17757,0.00776,0.000116833,0.000116833,0.000116833
117,13091.5,1.10811,0.32454,0.00274,0.7561,0.4873,0.54353,0.35262,1.66206,1.17665,0.00778,0.00011457,0.00011457,0.00011457
118,13200.1,1.10846,0.32706,0.00266,0.75416,0.48991,0.53623,0.3406,1.66942,1.18122,0.0078,0.000112315,0.000112315,0.000112315
119,13309.3,1.10854,0.31852,0.00266,0.76094,0.49226,0.53583,0.34036,1.67765,1.18053,0.00785,0.00011007,0.00011007,0.00011007
120,13418,1.11505,0.31057,0.00266,0.74994,0.49388,0.53536,0.34043,1.67551,1.18522,0.00786,0.000107835,0.000107835,0.000107835
121,13526.6,1.08254,0.31359,0.00268,0.78642,0.46738,0.53447,0.33847,1.67333,1.18072,0.00788,0.000105611,0.000105611,0.000105611
122,13635.9,1.09031,0.31676,0.00266,0.78299,0.46968,0.53489,0.33799,1.67244,1.18892,0.00784,0.000103398,0.000103398,0.000103398
123,13743.3,1.09242,0.3118,0.00265,0.77784,0.4713,0.53406,0.338,1.66585,1.19138,0.00782,0.000101197,0.000101197,0.000101197
124,13851.9,1.09891,0.31006,0.00263,0.73092,0.49814,0.53342,0.33775,1.67183,1.19165,0.00784,9.9009e-05,9.9009e-05,9.9009e-05
125,13961.2,1.08716,0.31419,0.0026,0.73015,0.49994,0.53719,0.34052,1.67275,1.19273,0.00786,9.68335e-05,9.68335e-05,9.68335e-05
